author,orcid,affiliation,affiliation_type,country,paper_title,paper_year,paper_doi,paper_venue,author_position,topic_query,n_relevant_papers,industry_flag,score,query_class,tier,product_line,asset,hook,affil_suspect,affil_suspect_reason,export_review,export_note
Bill Zivasatienraj,0000-0002-0522-4869,BAE Systems (United States),industry,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,3,1,32,core,T4,NONE,NONE,,N,,FALSE,
Bing Dai,0000-0002-1170-4084,Harbin Institute of Technology,academic,CN,Extracting deeply buried thermal resistance in Au/Au-bonded thick Si-on-diamond,2026,https://doi.org/10.1063/5.0314427,Applied Physics Letters,middle,diamond heat spreader,3,0,32,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Isaac Wildeson,,BAE Systems (United States),industry,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,3,1,32,core,T4,NONE,NONE,,N,,FALSE,
Eduardo M. Chumbes,0009-0001-2013-7747,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,32,core,T4,NONE,A1,,N,,FALSE,
Jeffrey LaRoche,,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,32,core,T4,NONE,A1,,N,,FALSE,
Maher Tahhan,0000-0003-4608-0926,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,32,core,T4,NONE,A1,,N,,FALSE,
Matthew T. Dejarld,0009-0002-7789-7787,RTX (United States),industry,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,3,1,32,core,T4,NONE,A1,,N,,FALSE,
Alessandro Sitta,0000-0003-2394-0882,STMicroelectronics (Italy),industry,IT,Effects of the pin-fins cooler roughness on the thermo-fluid dynamics performance of a SiC power module,2024,https://doi.org/10.1016/j.ijft.2024.100609,International Journal of Thermofluids,last,power module baseplate thermal,1,1,28,displacement,T2,copper-diamond-composite,A4,,N,,FALSE,
Baoquan Yao,0000-0001-5108-2673,Harbin Institute of Technology,academic,CN,20 W CW laser operation of Tm:YAP single crystal fiber,2024,https://doi.org/10.1016/j.optlastec.2024.111529,Optics & Laser Technology,last,laser diode thermal management,1,0,28,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Bo Shen,0000-0003-2786-8400,Peking University,academic,CN,AlN as interlayer for effective thermal dissipation from gallium nitride to CVD diamond using nanocrystalline diamond seeding,2024,https://doi.org/10.1002/ifm2.26,Information & Functional Materials,last,diamond heat spreader,1,0,28,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Cameron Nelson,,Amkor Technology (United States),industry,US,Thermal Management Implications for Heterogeneous Integrated Packaging,2024,https://doi.org/10.4071/001c.116637,IMAPSource Proceedings,first,chiplet package thermal,1,1,28,displacement,T4,NONE,A2,,N,,FALSE,
Chengyi Liao,0009-0009-3878-5994,Chinese Academy of Sciences,academic,CN,Enhanced Fabrication and Assembly of 3-D Chiplets Based on Active Interposer With Frontside Via-Last TSVs,2024,https://doi.org/10.1109/tcpmt.2024.3443858,IEEE Transactions on Components Packaging and Manufacturing Technology,first,chiplet package thermal,1,0,28,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Choon Heung Lee,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Study on the Manufacturability of X Dimension Fan Out Integration Package with Organic RDLs (XDFOI-O),2024,https://doi.org/10.4071/001c.115496,Journal of Microelectronics and Electronic Packaging,last,chiplet package thermal,1,1,28,displacement,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Collin Hitchcock,,GE Global Research (United States),industry,US,SiC Power Module Packaging Using Printed Electronics Materials and Processes,2024,https://doi.org/10.1109/tcpmt.2024.3453209,IEEE Transactions on Components Packaging and Manufacturing Technology,last,wide bandgap power device packaging,1,1,28,displacement,T2,copper-diamond-composite,A4,,N,,FALSE,
David Coenen,0000-0002-3732-1874,IMEC,academic,BE,Thermal Scaling Analysis of Large Hybrid Laser Arrays for Co-Packaged Optics,2024,https://doi.org/10.1109/jstqe.2024.3444923,IEEE Journal of Selected Topics in Quantum Electronics,first,co-packaged optics thermal,1,0,28,displacement,T3,polycrystalline-CVD-diamond-wafer,A6,,N,,FALSE,
David G. Cahill,0000-0001-5969-3460,University of Illinois Urbana-Champaign,academic,US,Probe beam deflection technique with liquid immersion for fast mapping of thermal conductance,2024,https://doi.org/10.1063/5.0179581,Applied Physics Letters,last,diamond thermal conductivity substrate,1,0,28,core,T3,NONE,NONE,,N,,FALSE,
Degan Xiong,0000-0001-5512-3014,"Hunan Province Engineering Research Center for High Thermal Conductivity Metal-Matrix Composites, Hunan Harvest Technology Development Co., Changsha 410219, China",academic,,An Investigation on the Spark Plasma Sintering Diffusion Bonding of Diamond/Cu Composites with a Cr Interlayer,2024,https://doi.org/10.3390/ma17246026,Materials,last,copper diamond composite,1,0,28,core,T3,NONE,NONE,,N,,FALSE,
Doug Hackler,,American Semiconductor (United States),industry,US,WLCSP Fully Protected Fan-In Reliability,2024,https://doi.org/10.4071/001c.94513,IMAPSource Proceedings,first,chiplet package thermal,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Ed Prack,,American Semiconductor (United States),industry,US,WLCSP Fully Protected Fan-In Reliability,2024,https://doi.org/10.4071/001c.94513,IMAPSource Proceedings,last,chiplet package thermal,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Elke Kraker,0000-0001-7734-5603,Materials Center Leoben (Austria),industry,AT,Correlation of heat transport mechanism and structural properties of GaN high electron mobility transistors,2024,https://doi.org/10.1063/5.0207513,Journal of Applied Physics,last,thermal boundary resistance GaN,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Eric Ouyang,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Power Envelope Analyses of Chiplet Module and System-on-Chip,2024,https://doi.org/10.4071/001c.94297,IMAPSource Proceedings,first,chiplet package thermal,1,1,28,displacement,T2,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Guocheng LÜ,,Chery Automobile (China),industry,CN,Reliability evaluation of IGBT power module on electric vehicle using big data,2024,https://doi.org/10.1088/1674-4926/45/5/052301,Journal of Semiconductors,last,IGBT module thermal fatigue,1,1,28,displacement,T2,copper-diamond-composite,A4,,N,,TRUE,affiliation country China: human export review required before any contact
Gwendolin Rohner,0000-0001-6680-7331,ETH Zurich,academic,CH,Comparative Evaluation of Three-Phase Three-Level GaN and Seven-Level Si Flying Capacitor Inverters for Integrated Motor Drives Considering Overload Operation,2024,https://doi.org/10.1109/access.2024.3350728,IEEE Access,first,power module baseplate thermal,1,0,28,displacement,T3,NONE,NONE,,N,,FALSE,
Haijie Chen,0000-0003-4838-3816,Jiangsu Changjiang Electronics Technology (China),industry,CN,Study on the Manufacturability of X Dimension Fan Out Integration Package with Organic RDLs (XDFOI-O),2024,https://doi.org/10.4071/001c.115496,Journal of Microelectronics and Electronic Packaging,first,chiplet package thermal,1,1,28,displacement,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Herman Oprins,0000-0003-0680-4969,IMEC,academic,BE,Thermal Scaling Analysis of Large Hybrid Laser Arrays for Co-Packaged Optics,2024,https://doi.org/10.1109/jstqe.2024.3444923,IEEE Journal of Selected Topics in Quantum Electronics,last,co-packaged optics thermal,1,0,28,displacement,T3,polycrystalline-CVD-diamond-wafer,A6,,N,,FALSE,
Hui Guo,0000-0002-0383-2481,Xidian University,academic,CN,Study of photoinduced nonthermal melting of 4H-SiC under femtosecond pulse laser irradiation based on time-dependent density functional theory simulations,2024,https://doi.org/10.1063/5.0221305,Journal of Applied Physics,last,diamond thermal conductivity substrate,1,0,28,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Jessica L. Faust,,Northeastern University,academic,US,Transferable Percolated Particle Monolayers Derived from Marangoni Flows for Thermally Conductive Dielectric Coatings,2024,https://doi.org/10.1021/acsami.4c14039,ACS Applied Materials & Interfaces,first,diamond heat spreader,1,0,28,core,T3,NONE,NONE,,N,,FALSE,
Jinwen Tang,0000-0002-8176-9406,Harbin Institute of Technology,academic,CN,20 W CW laser operation of Tm:YAP single crystal fiber,2024,https://doi.org/10.1016/j.optlastec.2024.111529,Optics & Laser Technology,first,laser diode thermal management,1,0,28,displacement,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Johan Driesen,0000-0002-1025-0949,Engie (Belgium),industry,BE,Real-Time MOSFET Condition Monitoring for Variable Mission Profiles With a Dual Extended Kalman Filter,2024,https://doi.org/10.1109/tpel.2024.3480704,IEEE Transactions on Power Electronics,last,die attach thermal resistance,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Johann W. Kolar,0000-0002-6000-7402,ETH Zurich,academic,CH,Comparative Evaluation of Three-Phase Three-Level GaN and Seven-Level Si Flying Capacitor Inverters for Integrated Motor Drives Considering Overload Operation,2024,https://doi.org/10.1109/access.2024.3350728,IEEE Access,last,power module baseplate thermal,1,0,28,displacement,T3,NONE,NONE,,N,,FALSE,
Junfeng Zhao,0000-0003-1756-5369,University Town of Shenzhen,academic,CN,Influence of diamond particle size on the properties of diamond/Al composites fabricated by filtration extrusion,2024,https://doi.org/10.1016/j.heliyon.2024.e37391,Heliyon,first,diamond thermal conductivity substrate,1,0,28,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Kimiyoshi Ichikawa,0000-0002-8655-3516,Kanazawa University,academic,JP,"Diamond Homoepitaxial Growth Technology toward Wafer Fabrication, Atomically Controlled Surfaces, and Low Resistivity",2024,https://doi.org/10.1021/accountsmr.4c00123,Accounts of Materials Research,first,diamond thermal conductivity substrate,1,0,28,core,T3,NONE,NONE,,N,,FALSE,
Li Liu,0000-0002-4593-9068,Chongqing University,academic,CN,Reliability evaluation of IGBT power module on electric vehicle using big data,2024,https://doi.org/10.1088/1674-4926/45/5/052301,Journal of Semiconductors,first,IGBT module thermal fatigue,1,0,28,displacement,T3,copper-diamond-composite,A4,,N,,TRUE,affiliation country China: human export review required before any contact
Liang Wang,0000-0002-8373-117X,Shenzhen Goodix Technology (China),industry,CN,Influence of diamond particle size on the properties of diamond/Al composites fabricated by filtration extrusion,2024,https://doi.org/10.1016/j.heliyon.2024.e37391,Heliyon,last,diamond thermal conductivity substrate,1,1,28,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Lisa Mitterhuber,0000-0002-5220-9530,Materials Center Leoben (Austria),industry,AT,Correlation of heat transport mechanism and structural properties of GaN high electron mobility transistors,2024,https://doi.org/10.1063/5.0207513,Journal of Applied Physics,first,thermal boundary resistance GaN,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Luca Donetti,0000-0002-2850-1777,University of Catania,academic,IT,Effects of the pin-fins cooler roughness on the thermo-fluid dynamics performance of a SiC power module,2024,https://doi.org/10.1016/j.ijft.2024.100609,International Journal of Thermofluids,first,power module baseplate thermal,1,0,28,displacement,T3,copper-diamond-composite,A4,,N,,FALSE,
Martijn Deckers,0000-0001-9652-7189,Engie (Belgium),industry,BE,Real-Time MOSFET Condition Monitoring for Variable Mission Profiles With a Dual Extended Kalman Filter,2024,https://doi.org/10.1109/tpel.2024.3480704,IEEE Transactions on Power Electronics,first,die attach thermal resistance,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Norio Tokuda,0000-0003-3313-362X,Kanazawa University,academic,JP,"Diamond Homoepitaxial Growth Technology toward Wafer Fabrication, Atomically Controlled Surfaces, and Low Resistivity",2024,https://doi.org/10.1021/accountsmr.4c00123,Accounts of Materials Research,last,diamond thermal conductivity substrate,1,0,28,core,T3,NONE,NONE,,N,,FALSE,
Per Viklund,,Siemens (Germany),industry,DE,Flexibility of System Technology Co-Optimization (STCO) Demands a Shift-Left Process and Methodology,2024,https://doi.org/10.4071/001c.116295,IMAPSource Proceedings,first,chiplet package thermal,1,1,28,displacement,T4,NONE,NONE,,N,,FALSE,
Pruek Vanna-Iampikul,0000-0002-2897-7142,Burapha University,academic,TH,Glass Interposer Integration of Logic and Memory Chiplets: PPA and Power/Signal Integrity Benefits,2024,https://doi.org/10.1109/tcad.2024.3504361,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,first,chiplet package thermal,1,0,28,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,FALSE,
Qingdong Wang,,Chinese Academy of Sciences,academic,CN,Enhanced Fabrication and Assembly of 3-D Chiplets Based on Active Interposer With Frontside Via-Last TSVs,2024,https://doi.org/10.1109/tcpmt.2024.3443858,IEEE Transactions on Components Packaging and Manufacturing Technology,last,chiplet package thermal,1,0,28,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Randall M. Erb,0000-0002-6351-395X,Northeastern University,academic,US,Transferable Percolated Particle Monolayers Derived from Marangoni Flows for Thermally Conductive Dielectric Coatings,2024,https://doi.org/10.1021/acsami.4c14039,ACS Applied Materials & Interfaces,last,diamond heat spreader,1,0,28,core,T3,NONE,NONE,,N,,FALSE,
Rejoy Surendran,,Henkel (Germany),industry,DE,Enhancing Semiconductor Package Reliability through Mechanical Property Optimization of Pressureless Sintering Die Attach Adhesives,2024,https://doi.org/10.4071/001c.94312,IMAPSource Proceedings,last,wide bandgap power device packaging,1,1,28,displacement,T2,single-crystal-CVD-diamond-plate,NONE,,N,,FALSE,
Riadh Al-Haidari,0009-0005-1917-2878,Binghamton University,academic,US,SiC Power Module Packaging Using Printed Electronics Materials and Processes,2024,https://doi.org/10.1109/tcpmt.2024.3453209,IEEE Transactions on Components Packaging and Manufacturing Technology,first,wide bandgap power device packaging,1,0,28,displacement,T3,copper-diamond-composite,A4,,N,,FALSE,
Sen Yang,0000-0001-5784-2952,Xi'an UniIC Semiconductors (China),industry,CN,Study of photoinduced nonthermal melting of 4H-SiC under femtosecond pulse laser irradiation based on time-dependent density functional theory simulations,2024,https://doi.org/10.1063/5.0221305,Journal of Applied Physics,first,diamond thermal conductivity substrate,1,1,28,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Seungbae Park,0000-0001-8498-266X,Binghamton University,academic,US,Design Guidelines for 2.5-D Packages Featuring Organic Interposer With Bridges Embedded,2024,https://doi.org/10.1109/tcpmt.2024.3474716,IEEE Transactions on Components Packaging and Manufacturing Technology,last,chiplet package thermal,1,0,28,displacement,T3,NONE,NONE,,N,,FALSE,
Shuhui Huang,0000-0003-3734-5427,General Research Institute for Nonferrous Metals (China),industry,CN,Microstructure and Properties of Aluminum Alloy/Diamond Composite Materials Prepared by Laser Cladding,2024,https://doi.org/10.3390/ma17215280,Materials,first,diamond thermal conductivity substrate,1,1,28,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Sung Kyu Lim,0000-0002-2267-5282,Georgia Institute of Technology,academic,US,Glass Interposer Integration of Logic and Memory Chiplets: PPA and Power/Signal Integrity Benefits,2024,https://doi.org/10.1109/tcad.2024.3504361,IEEE Transactions on Computer-Aided Design of Integrated Circuits and Systems,last,chiplet package thermal,1,0,28,displacement,T3,polycrystalline-CVD-diamond-wafer,A2,,N,,FALSE,
Takashi Kawamori,,"High Performance Materials Department, Institute for Advanced Integrated Technology",industry,,Highly Functional Materials for Advanced Package,2024,https://doi.org/10.2494/photopolymer.37.335,Journal of Photopolymer Science and Technology,last,chiplet package thermal,1,1,28,displacement,T4,NONE,A2,,N,,FALSE,
Tetsuya Enomoto,,"High Performance Materials Department, Institute for Advanced Integrated Technology",industry,,Highly Functional Materials for Advanced Package,2024,https://doi.org/10.2494/photopolymer.37.335,Journal of Photopolymer Science and Technology,first,chiplet package thermal,1,1,28,displacement,T4,NONE,A2,,N,,FALSE,
Wenjing Zhang,0000-0003-0697-7827,General Research Institute for Nonferrous Metals (China),industry,CN,Microstructure and Properties of Aluminum Alloy/Diamond Composite Materials Prepared by Laser Cladding,2024,https://doi.org/10.3390/ma17215280,Materials,last,diamond thermal conductivity substrate,1,1,28,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Xiaobin Hao,0000-0003-2616-7899,Harbin Institute of Technology,academic,CN,Optimizing MPCVD systems for diamond growth through advanced microwave transmission theory,2024,https://doi.org/10.1016/j.jcrysgro.2024.128008,Journal of Crystal Growth,first,single crystal diamond MPCVD,1,0,28,core,T3,single-crystal-CVD-diamond-plate,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Xinyu Liu,0009-0000-3558-8367,Chinese Academy of Sciences,academic,CN,Wafer-scale N-polar GaN heterogeneous structure fabricated by surface active bonding and laser lift-off,2024,https://doi.org/10.1016/j.jallcom.2024.176253,Journal of Alloys and Compounds,last,thermal boundary resistance GaN,1,0,28,displacement,T3,NONE,A1,,N,,TRUE,affiliation country China: human export review required before any contact
Xuan Hong,0000-0002-9849-6256,Henkel (Germany),industry,DE,Enhancing Semiconductor Package Reliability through Mechanical Property Optimization of Pressureless Sintering Die Attach Adhesives,2024,https://doi.org/10.4071/001c.94312,IMAPSource Proceedings,first,wide bandgap power device packaging,1,1,28,displacement,T2,single-crystal-CVD-diamond-plate,NONE,,N,,FALSE,
Xue-Qi Lv,,China National Nuclear Corporation,academic,CN,Influence of different vibration directions on the solder layer fatigue in IGBT modules,2024,https://doi.org/10.1016/j.microrel.2024.115526,Microelectronics Reliability,last,IGBT module thermal fatigue,1,0,28,displacement,T3,copper-diamond-composite,A4,,N,,TRUE,affiliation country China: human export review required before any contact
Yangyang Lai,0000-0002-3616-9217,Binghamton University,academic,US,Design Guidelines for 2.5-D Packages Featuring Organic Interposer With Bridges Embedded,2024,https://doi.org/10.1109/tcpmt.2024.3474716,IEEE Transactions on Components Packaging and Manufacturing Technology,first,chiplet package thermal,1,0,28,displacement,T3,NONE,NONE,,N,,FALSE,
Ye Tian,0000-0002-9138-872X,Chinese Academy of Sciences,academic,CN,Wafer-scale N-polar GaN heterogeneous structure fabricated by surface active bonding and laser lift-off,2024,https://doi.org/10.1016/j.jallcom.2024.176253,Journal of Alloys and Compounds,first,thermal boundary resistance GaN,1,0,28,displacement,T3,NONE,A1,,N,,TRUE,affiliation country China: human export review required before any contact
Yifan Jian,0000-0001-7988-7385,China National Nuclear Corporation,academic,CN,Influence of different vibration directions on the solder layer fatigue in IGBT modules,2024,https://doi.org/10.1016/j.microrel.2024.115526,Microelectronics Reliability,first,IGBT module thermal fatigue,1,0,28,displacement,T3,copper-diamond-composite,A4,,N,,TRUE,affiliation country China: human export review required before any contact
Ying Zhou,0000-0002-0597-4950,Nanjing University of Aeronautics and Astronautics,academic,CN,An Investigation on the Spark Plasma Sintering Diffusion Bonding of Diamond/Cu Composites with a Cr Interlayer,2024,https://doi.org/10.3390/ma17246026,Materials,first,copper diamond composite,1,0,28,core,T3,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Yonghyuk Jeong,,Jiangsu Changjiang Electronics Technology (China),industry,CN,Power Envelope Analyses of Chiplet Module and System-on-Chip,2024,https://doi.org/10.4071/001c.94297,IMAPSource Proceedings,last,chiplet package thermal,1,1,28,displacement,T2,polycrystalline-CVD-diamond-wafer,A2,,N,,TRUE,affiliation country China: human export review required before any contact
Brian Novak,0000-0002-8624-7631,Northrop Grumman (United States),industry,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,2,1,24,core,T4,NONE,NONE,,N,,FALSE,
Fengwen Mu,,Tianjin Energy Investment Group (China),industry,CN,Investigation of N-polar GaN-diamond heterogeneous integration enabled by in-situ sputtered aluminum nitride interlayer,2026,https://doi.org/10.1016/j.diamond.2026.113310,Diamond and Related Materials,middle,diamond thermal conductivity substrate,2,1,24,core,T2,GaN-on-diamond,A2,,N,,TRUE,affiliation country China: human export review required before any contact
James W. Pomeroy,0000-0003-3443-8759,University of Bristol,academic,GB,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,2,0,24,core,T4,NONE,NONE,,N,,FALSE,
Jeong-kyu Kim,0000-0001-9457-3448,Stanford University,academic,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,2,0,24,core,T4,NONE,NONE,,N,,FALSE,
Puneet Srivastava,0000-0001-8066-3135,BAE Systems (United States),industry,US,Optimization Factors for the Thermal Design of Packaged GaN High-Electron-Mobility Transistors,2026,https://doi.org/10.1109/ted.2026.3667665,IEEE Transactions on Electron Devices,middle,diamond heat spreader,2,1,24,core,T4,NONE,NONE,,N,,FALSE,
Sen Zhang,0000-0002-6922-5633,Harbin Institute of Technology,academic,CN,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,middle,single crystal diamond MPCVD,2,0,24,core,T4,single-crystal-CVD-diamond-plate,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Shamima Afroz,0009-0007-8773-5518,Northrop Grumman (United States),industry,US,Enhanced Thermal Management in GaN Superlattice Castellated Field Effect Transistors,2026,https://doi.org/10.1109/led.2026.3696134,IEEE Electron Device Letters,middle,GaN diamond thermal,2,1,24,core,T4,NONE,NONE,,N,,FALSE,
Yicun Li,0000-0003-1304-6166,Harbin Institute of Technology,academic,CN,Modeling optimization and experimental verification of inch-scale heteroepitaxial single-crystal diamond nucleation with 915 MHz MPCVD,2026,https://doi.org/10.1016/j.vacuum.2026.115618,Vacuum,middle,single crystal diamond MPCVD,2,0,24,core,T4,single-crystal-CVD-diamond-plate,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Yiqun Wang,0000-0002-4400-9379,Yangtze University,academic,CN,Simultaneous Measurement of the Thermal Boundary Resistance and Thermal Conductivity of Die-Attach Materials in Sandwich Structures via Multiwavelength Transient Thermoreflectance,2026,https://doi.org/10.1021/acsaelm.6c00280,ACS Applied Electronic Materials,middle,die attach thermal resistance,2,0,24,displacement,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Yiwen Song,0000-0002-9253-889X,Pennsylvania State University,academic,US,High thermal boundary conductance across a GaN/SiC interface characterized via signal-ratio-based dual-frequency time-domain thermoreflectance,2026,https://doi.org/10.1063/5.0303711,Journal of Applied Physics,middle,thermal boundary resistance GaN,2,0,24,displacement,T4,GaN-on-diamond,A1,,N,,FALSE,
Yutao Fang,0000-0001-5814-3133,Fudan University,academic,CN,Interfacial Engineering toward Ultralow Thermal Boundary Resistance at Metal–Semiconductor Contacts,2026,https://doi.org/10.1021/acs.nanolett.5c05501,Nano Letters,middle,thermal boundary resistance GaN,2,0,24,displacement,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Feras Eid,,Intel (United Kingdom),industry,GB,Cold Sprayed Copper-Diamond Composites for Thermal Management of Semiconductor Packages,2025,https://doi.org/10.4071/001c.128390,IMAPSource Proceedings,middle,diamond thermal conductivity substrate,2,1,24,core,T2,copper-diamond-composite,NONE,,N,,FALSE,
M. Sun,0009-0007-3535-0640,General Research Institute for Nonferrous Metals (China),industry,CN,Subcooled flow boiling in diamond/Cu microchannel heat sinks for near-junction chip cooling,2025,https://doi.org/10.1016/j.csite.2025.105981,Case Studies in Thermal Engineering,middle,diamond thermal conductivity substrate,2,1,24,core,T2,GaN-on-diamond,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Naoteru Shigekawa,0000-0001-7454-8640,Osaka Prefecture University,academic,JP,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,middle,GaN diamond thermal,2,0,24,core,T4,polycrystalline-CVD-diamond-wafer,A1,,N,,FALSE,
Rohith Soman,0000-0003-2585-1939,Stanford University,academic,US,Interfacial Thermal Transport in Top-Side Diamond Integrated AlGaN/GaN High Electron Mobility Transistors,2025,https://doi.org/10.1021/acsami.5c13149,ACS Applied Materials & Interfaces,middle,diamond heat spreader,2,0,24,core,T4,NONE,A1,,N,,FALSE,
Thomas Andres Rodriguez,,Stanford University,academic,US,Performance Enhancement of GaN Super-Lattice Castellated Field-Effect Transistors (SLCFETs) via Topside Integration of Near-Isotropic Polycrystalline Diamond,2025,https://doi.org/10.1109/led.2025.3602825,IEEE Electron Device Letters,middle,diamond heat spreader,2,0,24,core,T4,polycrystalline-CVD-diamond-wafer,NONE,,N,,FALSE,
Wenxin Cao,0009-0005-6207-2709,Harbin Institute of Technology,academic,CN,Enhanced thermal conductivity and thermal shock resistance in diamond/copper composites through diamond surface etching,2025,https://doi.org/10.1016/j.matlet.2025.138229,Materials Letters,middle,copper diamond composite,2,0,24,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Yutaka Ohno,0000-0003-3998-4409,Tohoku Agricultural Research Center,academic,JP,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,middle,GaN diamond thermal,2,0,24,core,T4,polycrystalline-CVD-diamond-wafer,A1,,N,,FALSE,
Zhijie Ye,0000-0003-2343-6643,Harbin Institute of Technology,academic,CN,Enhanced thermal conductivity and thermal shock resistance in diamond/copper composites through diamond surface etching,2025,https://doi.org/10.1016/j.matlet.2025.138229,Materials Letters,middle,copper diamond composite,2,0,24,core,T4,NONE,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Zhongnan Xie,,General Research Institute for Nonferrous Metals (China),industry,CN,Subcooled flow boiling in diamond/Cu microchannel heat sinks for near-junction chip cooling,2025,https://doi.org/10.1016/j.csite.2025.105981,Case Studies in Thermal Engineering,middle,diamond thermal conductivity substrate,2,1,24,core,T2,GaN-on-diamond,NONE,,N,,TRUE,affiliation country China: human export review required before any contact
Zifeng Huang,0009-0005-7397-9963,Integrated Optoelectronics (Norway),industry,NO,Direct Integration of Polycrystalline Diamond With 3C‐SiC for Enhanced Thermal Management in GaN HEMTs: Impact of Grain Structure and Interface Engineering,2025,https://doi.org/10.1002/admt.202500437,Advanced Materials Technologies,middle,GaN diamond thermal,2,1,24,core,T2,polycrystalline-CVD-diamond-wafer,A1,,N,,FALSE,
Hiroki Uratani,0000-0002-8411-3429,Air Water (Japan),industry,JP,Interfacial Reaction Boosts Thermal Conductance of Room‐Temperature Integrated Semiconductor Interfaces Stable up to 1100 °C,2024,https://doi.org/10.1002/aelm.202400387,Advanced Electronic Materials,middle,diamond thermal conductivity substrate,2,1,16,core,T4,NONE,NONE,,N,,FALSE,
